es|Universitat Politècnica de Catalunya|e|168dceb2-f2a1-ed11-aad1-000d3a85c377|Universitat Politècnica de Catalunya, BarcelonaTech (Polytechnic University of Catalonia, BarcelonaTech)|1000||Y--|upc.edu
fi|University of Helsinki|e|a9ff2878-f0a1-ed11-aad1-000d3a85c377|University of Helsinki (Helsingin yliopisto)|1100|920|YYY|helsinki.fi
fi|Aalto University|e|4d5de494-f2a1-ed11-aad1-000d3a85c377|Aalto University (Aalto-yliopisto)|1000|1222|YNY|aalto.fi
fi|Tampere University|e|c8ff2878-f0a1-ed11-aad1-000d3a85c377|Tampere University (Tampereen Yliopisto)|1000|563|YNY|tuni.fi
fi|LUT University|e|b7522a0a-f2a1-ed11-aad1-000d3a85c377|LUT University (Lappeenranta-Lahti University of Technology LUT)|1000|243|YNY|lut.fi
fi|University of Oulu|e|c5ff2878-f0a1-ed11-aad1-000d3a85c377|University of Oulu (Oulun Yliopisto)|1000|372|YNN|oulu.fi
fi|University of Turku|m|c6ff2878-f0a1-ed11-aad1-000d3a85c377|University of Turku (Turun Yliopisto)|1000|437|YNY|utu.fi
fi|University of Jyväskylä|e|b4ff2878-f0a1-ed11-aad1-000d3a85c377|University of Jyväskylä (Jyväskylän Yliopisto)|1000|180|Y--|jyu.fi
fi|Åbo Akademi University|e|e6ff2878-f0a1-ed11-aad1-000d3a85c377|Åbo Akademi University (Åbo Akademi)|1000|52|YNY|abo.fi
fi|University of Eastern Finland|e|3ebbd9a0-f2a1-ed11-aad1-000d3a85c377|University of Eastern Finland (Itä-Suomen Yliopisto)|1000|446|YNY|uef.fi
fi|Metropolia University of Applied Sciences|e|9d4e1d16-f2a1-ed11-aad1-000d3a85c377|Metropolia University of Applied Sciences (Metropolia Ammattikorkeakoulu)|1101|107|YYY|metropolia.fi
fi|Haaga-Helia University of Applied Sciences|e|b2fe171c-f2a1-ed11-aad1-000d3a85c377|Haaga-Helia University of Applied Sciences (Haaga-Helia Ammattikorkeakoulu)|1100|136|YYN|haaga-helia.fi
fi|Tampere University of Applied Sciences|m|d0d9c6b8-f2a1-ed11-aad1-000d3a85c377|Tampere University of Applied Sciences (TAMK) (Tampereen Ammattikorkeakoulu)|1100|81|YYY|tuni.fi
fi|Arcada University of Applied Sciences|e|365737fe-f1a1-ed11-aad1-000d3a85c377|Arcada University of Applied Sciences|1000|17|YNY|arcada.fi
fr|École Polytechnique|r|b2ef96ea-f3a1-ed11-aad1-000d3a85c377|École Polytechnique de Paris|1000|221|Y--|ip-paris.fr
fr|ESCP Business School|e|25bad9a0-f2a1-ed11-aad1-000d3a85c377|ESCP Business School - Paris|1000|448|YNY|escp.eu
fr|ESSEC Business School|e|fa5637fe-f1a1-ed11-aad1-000d3a85c377|ESSEC Business School|1000|290|Y--|essec.edu
fr|EDHEC Business School|r|cca97893-f4a1-ed11-aad1-000d3a85c377|Ecole des Hautes Etudes Commerciales du Nord (EDHEC)|1000|346|Y--|edhec.edu
fr|The American University of Paris|e|e3ff2878-f0a1-ed11-aad1-000d3a85c377|American University of Paris|1110|367|YYY|aup.edu
fr|Université Grenoble Alpes|e|dcf02b5d-f3a1-ed11-aad1-000d3a85c377|Université Grenoble Alpes (Grenoble Alpes University)|1000|40|Y--|univ-grenoble-alpes.fr
fr|Université de Strasbourg|e|a5c03bac-78e5-ee11-904d-6045bd5a3c6f|Université de Strasbourg (University of Strasbourg)|1000||Y--|unistra.fr
